,city,country,coord,id,lat,lng,cur_date,cur_temp,cur_humidity,cur_clouds,cur_wind,max_date,max_temp,max_temp_humidity,max_temp_clouds,max_temp_wind,avg_date0,avg_date1,avg_temp,avg_humidity,avg_clouds,avg_wind
0,vanimo,pg,"{'lon': 141.302841, 'lat': -2.67408}",2084442,-2.67,141.3,1522991986,82.72,100,24,11.68,1523016000,83.73,100,48,8.32,1522994400,1523394000,81.9621052632,100.0,35.1578947368,5.08921052632
1,bluff,nz,"{'lon': 168.333328, 'lat': -46.599998}",2206939,-46.6,168.33,1522991978,53.74,100,48,15.86,1523070000,55.63,100,44,18.92,1522994400,1523394000,52.8802631579,100.0,66.3157894737,24.3321052632
2,mataura,pf,,0,,,,,,,,,,,,,,,,,,
3,clyde river,ca,"{'lon': -68.591431, 'lat': 70.469162}",5924351,70.47,-68.59,1522990800,-7.61,83,90,9.17,1523037600,1.48,100,56,5.88,1522994400,1523394000,-4.51552631579,85.0,43.3684210526,4.44815789474
4,lebu,cl,"{'lon': -73.650002, 'lat': -37.616669}",3883457,-37.62,-73.65,1522991981,54.1,100,0,19.33,1523037600,54.76,100,88,15.05,1522994400,1523394000,55.6986842105,96.0,72.2105263158,17.8731578947
5,east london,za,"{'lon': 27.911619, 'lat': -33.015289}",1006984,-33.02,27.91,1522990800,66.2,82,0,2.24,1523005200,80.46,89,24,8.63,1522994400,1523394000,71.6239473684,99.2631578947,45.7894736842,15.1292105263
6,busselton,au,"{'lon': 115.370796, 'lat': -33.684769}",7839477,-33.68,115.37,1522991993,72.73,90,0,4.74,1522994400,74.97,90,0,4.74,1522994400,1523394000,66.5460526316,99.3421052632,41.1578947368,15.3839473684
8,tiruvottiyur,in,"{'lon': 80.3045793, 'lat': 13.1691914}",0,13.17,80.3,1522990800,91.4,55,20,9.17,1522994400,92.3,91,0,10.67,1522994400,1523394000,83.8423684211,94.2105263158,18.6315789474,8.23684210526
9,marsh harbour,bs,"{'lon': -77.063599, 'lat': 26.541241}",3571913,26.54,-77.06,1522991986,70.03,100,76,11.39,1523037600,73.21,100,32,10.8,1522994400,1523394000,74.8852631579,98.2894736842,40.8421052632,11.3886842105
10,pisco,pe,"{'lon': -76.216667, 'lat': -13.7}",3932145,-13.7,-76.22,1522987200,68,77,0,1.28,1523037600,75.91,66,0,6.22,1522994400,1523394000,68.8576315789,82.8421052632,30.2105263158,3.12
11,hermanus,za,"{'lon': 19.234461, 'lat': -34.418701}",3366880,-34.42,19.23,1522991997,56.44,96,100,4.23,1523016000,64.96,74,24,4.74,1522994400,1523394000,60.7813157895,72.2894736842,25.8947368421,3.97921052632
12,kalianget,id,"{'lon': 113.933327, 'lat': -7.05}",1641977,-7.05,113.93,1522991990,86.95,90,12,8.14,1523080800,87.84,86,8,10.94,1522994400,1523394000,86.0547368421,88.3947368421,24.2105263158,8.64657894737
13,pontes e lacerda,br,"{'lon': -59.335281, 'lat': -15.22611}",3453060,-15.23,-59.34,1522991991,71.11,91,8,2.73,1523026800,85.95,88,20,4.32,1522994400,1523394000,77.5639473684,89.5263157895,18.3157894737,3.43947368421
14,rikitea,pf,"{'lon': -134.969177, 'lat': -23.120279}",4030556,-23.12,-134.97,1522991993,78.67,100,68,4.9,1523070000,78.76,100,0,3.56,1522994400,1523394000,78.9257894737,100.0,46.3157894737,6.73631578947
15,manubul,ph,"{'lon': 120.798599, 'lat': 5.4732}",1701410,5.47,120.8,1522991994,82.9,100,36,6.91,1523026800,84.96,97,88,7.49,1522994400,1523394000,83.3807894737,99.8684210526,40.8421052632,5.61815789474
