cities,latitude,longitude,temperature,humidity,cloudiness,wind_speed
Abalak,15.46,6.28,70.03,20,20,11.05
Abu Kamal,34.45,40.92,71.92,14,0,7.31
Acapulco,16.86,-99.88,75.2,88,5,2.24
Adamovka,51.52,59.94,34.39,100,88,8.03
Adrar,27.87,-0.29,68.0,23,0,5.82
Adre,13.47,22.2,72.1,22,0,12.17
Ahipara,-35.17,173.16,67.51,84,48,8.32
Ahome,25.92,-109.18,59.86,75,0,2.51
Airai,-8.93,125.41,84.16,51,8,1.28
Aklavik,68.22,-135.01,10.4,60,20,5.82
Aksay,47.27,39.86,47.62,89,32,7.54
Aksu,52.04,76.93,48.2,49,0,11.18
Aktau,43.65,51.16,44.6,100,40,6.71
Albany,42.65,-73.75,25.27,58,75,2.55
Aleksandrov Gay,50.14,48.57,35.74,100,0,8.77
Alekseyevsk,57.84,108.35,25.66,67,92,9.04
Alice Springs,-23.7,133.88,89.6,18,0,13.87
Almeirim,39.21,-8.63,54.36,93,75,9.17
Alofi,-19.06,-169.92,77.0,94,88,11.41
Altay,47.83,88.13,40.51,65,0,3.0
Aluksne,57.42,27.05,44.2,99,64,13.18
Anadyr,64.73,177.51,12.2,78,20,6.71
Anapskaya,44.9,37.38,55.4,62,0,8.95
Ancud,-41.87,-73.83,44.38,87,76,2.33
Anloga,5.79,0.9,80.6,94,20,8.05
Aranos,-24.14,19.11,64.18,82,0,10.38
Araouane,18.9,-3.53,69.04,18,12,6.91
Arlit,18.74,7.39,63.37,24,0,4.0
Arraial do Cabo,-22.97,-42.02,74.44,97,92,1.32
Ashqelon,31.67,34.57,62.19,82,40,6.93
Astoria,46.19,-123.83,51.8,100,90,12.75
Aswan,24.09,32.9,73.18,57,0,4.41
Atambua,-9.11,124.89,85.69,91,0,2.84
Atuona,-9.8,-139.03,81.64,100,92,14.36
Avarua,-21.21,-159.78,80.6,94,40,9.17
Awbari,26.59,12.77,64.45,34,0,9.89
Ayan,40.67,33.6,51.49,66,0,2.39
Badou,7.58,0.61,68.68,96,8,3.11
Bagado,5.41,-76.42,63.46,98,92,1.5
Baghdad,33.3,44.38,64.4,39,75,4.7
Baherden,38.44,57.43,51.94,100,24,4.52
Balkhash,46.84,74.98,44.92,78,12,4.34
Bambous Virieux,-20.34,57.76,78.8,88,75,3.36
Bandarbeyla,9.49,50.81,81.91,100,24,5.12
Banjar,-7.37,108.54,83.89,74,68,3.74
Baoshan,31.41,121.49,59.86,38,0,17.9
Barcelos,41.53,-8.62,54.28,71,75,10.29
Barrow,-38.31,-60.23,55.09,59,44,4.63
Batagay-Alyta,67.8,130.41,21.7,83,20,4.07
Batemans Bay,-35.71,150.18,65.35,98,88,4.0
Bathsheba,13.22,-59.52,77.0,83,40,12.75
Bay Roberts,47.58,-53.28,32.0,90,90,17.22
Beidao,34.57,105.89,38.98,74,0,7.31
Beira,43.2,-8.36,49.05,93,40,6.93
Belaya Gora,68.54,146.19,22.78,95,20,4.29
Bell Ville,-32.63,-62.69,64.0,73,92,18.84
Belmonte,40.36,-7.35,37.45,80,12,5.64
Berdigestyakh,62.1,126.7,26.47,50,56,9.55
Beringovskiy,63.05,179.32,16.21,93,68,22.91
Berlevag,70.86,29.09,24.71,79,0,10.29
Bestobe,52.5,73.1,37.45,94,88,9.44
Bethel,60.79,-161.76,21.2,79,75,5.82
Bettiah,26.8,84.51,87.76,49,0,10.56
Bilibino,68.06,166.44,30.97,70,0,3.4
